,Original Modality,Predicted Modality,Noise,Features,Percent of Features
0,bimodal,bimodal,0,1,100.0
1,bimodal,bimodal,10,100,100.0
2,bimodal,bimodal,20,100,100.0
3,bimodal,bimodal,30,69,69.0
4,bimodal,bimodal,40,12,12.0
5,bimodal,bimodal,50,1,1.0
6,bimodal,multimodal,30,31,31.0
7,bimodal,multimodal,40,88,88.0
8,bimodal,multimodal,50,99,99.0
9,bimodal,multimodal,60,100,100.0
10,bimodal,multimodal,70,100,100.0
11,bimodal,multimodal,80,100,100.0
12,bimodal,multimodal,90,100,100.0
13,bimodal,multimodal,100,100,100.0
14,middle,middle,0,1,100.0
15,middle,middle,10,100,100.0
16,middle,middle,20,100,100.0
17,middle,middle,30,89,89.0
18,middle,middle,40,19,19.0
19,middle,middle,50,1,1.0
20,middle,multimodal,30,11,11.0
21,middle,multimodal,40,81,81.0
22,middle,multimodal,50,99,99.0
23,middle,multimodal,60,100,100.0
24,middle,multimodal,70,100,100.0
25,middle,multimodal,80,100,100.0
26,middle,multimodal,90,100,100.0
27,middle,multimodal,100,100,100.0
28,~0,bimodal,30,1,1.0
29,~0,bimodal,40,1,1.0
30,~0,bimodal,50,2,2.0
31,~0,multimodal,30,1,1.0
32,~0,multimodal,40,71,71.0
33,~0,multimodal,50,98,98.0
34,~0,multimodal,60,100,100.0
35,~0,multimodal,70,100,100.0
36,~0,multimodal,80,100,100.0
37,~0,multimodal,90,100,100.0
38,~0,multimodal,100,100,100.0
39,~0,~0,0,1,100.0
40,~0,~0,10,100,100.0
41,~0,~0,20,100,100.0
42,~0,~0,30,98,98.0
43,~0,~0,40,28,28.0
44,~1,bimodal,30,1,1.0
45,~1,bimodal,40,3,3.0
46,~1,bimodal,50,1,1.0
47,~1,multimodal,40,63,63.0
48,~1,multimodal,50,99,99.0
49,~1,multimodal,60,100,100.0
50,~1,multimodal,70,100,100.0
51,~1,multimodal,80,100,100.0
52,~1,multimodal,90,100,100.0
53,~1,multimodal,100,100,100.0
54,~1,~1,0,1,100.0
55,~1,~1,10,100,100.0
56,~1,~1,20,100,100.0
57,~1,~1,30,99,99.0
58,~1,~1,40,34,34.0
